No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,12,Brise Noir,3,Jim Crowley,Brian Meehan,15,125,51,,41,51,41,41,41,41,51,41,51,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,13,Hymnbook,3,Robert Havlin,S Woods,9,124,12,,11,11,12,11,11,12,10,12,12,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,14,Fort George,3,Kieran Shoemark,Ed Walker,8,123,11,,11,11,11,10,11,11,11,11,10,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,15,Serenity Blue,3,P J McDonald,James Horton,14,123,13,,12,13,13,13,13,13,13,13,13,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,16,Janey Mackers,3,Silvestre De Sousa,David Menuisier,5,122,19,,19,17,17,17,17,17,17,17,17,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,17,Best Adventure,3,Shane Foley,Andrew Balding,16,121,23,,21,23,21,21,21,21,21,21,21,SP
,Goodwood,13:20,Coral Kincsem Handicap,Class 2,10,"£51,540",Good,Turf,,18,18,Magellan Cloud,3,Rowan Scott,John & Sean Quinn,13,117,41,,41,41,34,34,34,34,34,34,34,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,1,Azizam,2,Sam James,K R Burke,3,128,9,,9,8.5,8,8,8,8,8,8,8,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,2,Chicago Call,2,Billy Loughnane,J P Murtagh,5,128,23,,23,23,23,23,23,23,23,23,23,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,3,Coppull,2,David Probert,Clive Cox,8,128,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,4,Egoli,2,Rossa Ryan,Ralph Beckett,4,128,7.5,,7.5,7.5,7.5,7.5,7,7.5,7.5,7,7,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,5,Havana Hurricane,2,Charles Bishop,Eve Johnson Houghton,6,128,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,6,Maximized,2,William Buick,Charlie Appleby,7,128,5.5,,5.5,5,5,5,5,5,5,5,5,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,7,Puerto Rico,2,Ryan Moore,A P O'Brien,9,128,8.5,,8.5,8.5,8.5,8.5,8.5,8.5,8,8.5,8,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,8,Super Soldier,2,Clifford Lee,K R Burke,1,128,13,,11,13,13,13,13,13,13,13,13,SP
,Goodwood,13:55,Markel Richmond Stakes (Group 2) (Colts & Geldings),Class 1,6,"£99,243",Good,Turf,,9,9,Underwriter,2,James Doyle,Archie Watson,2,128,15,,12,15,15,15,15,15,15,15,15,SP
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,1,Galveston,3,Ryan Moore,A P O'Brien,3,129,7,,6.5,7,7,7,6.5,7,6.5,7,7,SP
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,2,Merchant,3,Tom Marquand,William Haggas,4,129,2.25,,2.25,2.25,2.2,2.25,2.25,2.2,2.25,2.25,2.25,SP
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,3,Rahiebb,3,Silvestre De Sousa,Roger Varian,5,129,6,,6,6,6,6,6,6,6,6,6,SP
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,4,Sir Dinadan,3,Rossa Ryan,Ralph Beckett,7,129,6.5,,6.5,6.5,6,6.5,6.5,6,6.5,6.5,6.5,SP
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,5,Too Soon,3,Tom Queally,Gary & Josh Moore,6,129,67,,67,67,67,67,67,67,67,67,67,SP
