No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,9,Cayman Tai,3,Joe Leavy,Richard Hannon,7,135,11,,10,11,11,11,11,11,11,11,11,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,10,Peter The Wolf,3,Edward Greatrex,Warren Greatrex,11,134,11,,10,11,11,11,11,11,11,11,11,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,11,Loving Apprentice,3,Trevor Whelan,Ed Dunlop,12,130,5,,4.5,5,4.5,4.5,4.5,4.5,4.33,4.5,4.5,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,12,Iconic Times,3,Mason Paetel(5),Heather Main,6,128,26,,21,26,26,26,26,26,26,26,26,SP
,Wolverhampton (AW),18:15,Racing League Race 9 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,6,"£18,039",Standard,AW,,13,13,Kamekist,3,Richard Kingscote,Eve Johnson Houghton,1,125,13,,12,13,13,13,13,13,13,13,13,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,1,Charging Thunder,7,Mason Paetel(5),James Owen,6,140,8,,8,7.5,7,7,7,7.5,7,7,7,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,2,La Pulga,6,Paul Mulrennan,Charlie Johnston,12,138,4.33,,4,4.33,4,4,4,4,4,4,4,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,3,Great Bedwyn,5,Joe Leavy,Richard Hannon,1,137,12,,12,12,11,11,11,11,11,11,11,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,4,Alrazeen,4,David Allan,Gay Kelleway,2,135,34,,29,29,34,29,34,34,34,34,34,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,5,Londonofficecallin,8,Finley Marsh,Gavin Cromwell,11,133,4.5,,4.33,4.5,4.33,4.5,4.33,4.33,4.33,4.33,4.33,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,6,Dancingwithmyself,4,Trevor Whelan,Michael Bell,4,132,15,,13,15,15,15,15,15,15,15,15,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,7,Diamond Bay,7,Richard Kingscote,Tom Ward,7,129,21,,17,21,21,21,21,19,21,21,21,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,8,Gallant Lion,5,Edward Greatrex,Ian Williams,8,121,11,,10,10,11,10,11,11,11,11,11,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,9,Kitsune Power,6,Joanna Mason,Tim Easterby,9,120,15,,13,15,15,15,15,15,15,15,15,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,10,Chutzpal,6,Kieran O'Neill,Henry De Bromhead,3,118,6.5,,6.5,5.5,5,5,5,5.5,5,5,5,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,11,Further Measure,8,Luke Morris,Mike Murphy,5,118,26,,23,26,26,26,26,23,26,26,26,SP
,Wolverhampton (AW),18:45,Racing League Race 10 Handicap (In The Care Of Trainers Registered To Racing League) (GBBPlus),Class 3,14,"£25,770",Standard,AW,,12,12,Emaculate Soldier,5,Laura Coughlan(3),Bill Turner,10,116,19,,17,19,17,17,17,17,17,17,17,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,1,Al Shabab Storm,4,Jack Nicholls(7),Marco Botti,2,142,13,,13,13,12,12,12,12,12,12,12,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,2,Willem Twee,6,Daniel Muscutt,James Fanshawe,10,136,5.5,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,3,Fivethousandtoone,7,David Allan,Tim Easterby,4,130,13,,12,13,13,13,13,13,13,13,13,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,4,Dark Thirty,5,Joe Leavy,Richard Hannon,8,126,17,,15,17,17,17,15,17,17,17,17,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,5,Never Just A Dream,5,Cieren Fallon,Alice Haynes,12,125,15,,12,13,15,15,15,15,15,15,15,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,6,Change Sings,5,Richard Kingscote,Eve Johnson Houghton,6,123,5,,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,7,Queen's Guard,4,Andrew Mullen,Iain Jardine,7,123,12,,11,12,12,12,12,12,12,12,12,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,8,Mr Lightside,3,Alistair Rawlinson,Michael Appleby,11,123,13,,12,13,12,13,13,12,13,13,13,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,9,Aramis Grey,8,Trevor Whelan,Jack Jones,13,122,21,,17,21,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,10,Stormy Impact,3,Warren Fentiman(5),Richard Fahey,5,121,10,,10,9,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,11,Fleetwater,3,Luke Morris,J S Moore,1,117,19,,15,19,19,19,19,19,19,19,19,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,12,Barbapapa,6,Kieran O'Neill,Henry De Bromhead,3,115,5.5,,5.5,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SP
,Wolverhampton (AW),19:15,Racing League Race 11 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 2,6,"£38,655",Standard,AW,,13,13,Oriental Prince,4,Amie Waugh(3),Jim Goldie,9,114,23,,23,23,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,1,Zowal,3,Jason Hart,John & Sean Quinn,4,138,19,,19,19,19,17,17,19,17,17,17,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,2,Hyperchromatic,3,Joanna Mason,Marco Botti,11,138,7.5,,7.5,7.5,7,7,7,7,7,7,7,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,3,Megaphone,3,Cieren Fallon,George Boughey,12,135,19,,19,17,17,15,15,17,15,15,15,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,4,Palio Di Siena,3,William Carver,Jamie Osborne,9,134,7,,6.5,7,6.5,7,7,6.5,7,7,7,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,5,Penfolds Grange,3,Daniel Muscutt,Harry Eustace,7,134,11,,11,11,11,10,10,11,10,10,10,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,6,Fantasmic,3,Trevor Whelan,Jack Jones,8,134,17,,15,17,17,17,17,17,17,17,17,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,7,Love Is The Law,3,Richard Kingscote,George Scott,13,133,8,,7.5,8,7.5,8,8,7.5,8,8,8,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,8,Saxonia,3,Oliver Stammers,Charlie Johnston,10,133,10,,10,9.5,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,9,Outlandish,3,Jack Mitchell,Charlie Fellowes,6,132,13,,12,13,12,13,13,12,13,13,13,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,10,Studious,3,Finley Marsh,Mark Loughnane,1,132,15,,15,13,13,12,12,13,12,12,12,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,11,Double Parked,3,David Allan,Tim Easterby,5,131,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,12,Dream Angel,3,Cam Hardie,Richard Fahey,2,124,9,,8.5,9,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),19:45,Racing League Race 12 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 4,8.5,"£18,039",Standard,AW,,13,13,Hock Eye The Noo,3,Andrew Mullen,Charlie Johnston,3,120,26,,19,26,23,26,26,23,26,26,26,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,1,Sterling Knight,6,Edward Greatrex,Ed Dunlop,4,139,8,,7,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,2,Romieu,4,Joanna Mason,Adrian Paul Keatley,9,138,10,,10,9.5,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,3,Believe The Storm,4,Jack Mitchell,Charlie Fellowes,7,136,5.5,,5,5.5,5,5,5.5,5,5.5,5,5,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,4,Obelix,5,Paul Mulrennan,Julie Camacho,11,136,6.5,,6.5,6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,5,Tolstoy,6,Ben Robinson,Brian Ellison,12,136,23,,19,23,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,NR,Rock Walk,5,NON-RUNNER,Marco Botti,13,135,,,-,-,-,-,-,-,-,-,SP,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,7,Mr Swivell,4,Daniel Muscutt,Kevin Philippart De Foy,3,135,6.5,,6.5,6.5,6,6,6,6,6,6,6,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,8,Hickory,7,William Carver,Jamie Osborne,1,135,6,,6,6,5.5,6,6,5.5,5.5,6,6,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,9,Shamrock Bay,4,Richard Kingscote,Daniel & Claire Kubler,2,132,10,,10,9.5,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,10,Sailthisshipalone,4,Warren Fentiman(5),Richard Fahey,8,130,21,,19,21,19,19,19,19,19,19,19,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,11,Lady Of Arabia,5,Jack Doughty,Eve Johnson Houghton,5,129,23,,21,23,23,23,23,23,23,23,23,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,12,Koy Koy,6,Cieren Fallon,George Boughey,10,128,23,,19,23,21,21,21,21,21,21,21,SP
,Wolverhampton (AW),20:15,Racing League Race 13 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,8.5,"£25,770",Standard,AW,,13,13,Tilted Kilt,3,Mason Paetel(5),William Knight,6,124,13,,13,13,13,13,13,13,13,13,13,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,1,Andaleep,9,Richard Kingscote,Daniel & Claire Kubler,8,143,11,,10,11,11,9.5,11,11,11,11,11,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,2,Penzance,5,William Carver,John Joseph Hanlon,7,140,11,,11,11,9.5,9.5,9,9.5,9.5,9.5,9.5,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,3,Silent Age,4,Edward Greatrex,Ian Williams,9,135,10,,10,10,9,9,9,9,9,9,9,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,4,Wadacre Gomez,5,Oliver Stammers,Charlie Johnston,6,134,17,,17,17,15,15,15,15,15,15,15,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,5,Londoner,5,Jack Doughty,Daniel & Claire Kubler,11,134,8,,8,8,8,8,8,8,8,8,8,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,6,Son Of Man,4,Paddy Bradley,Jim Boyle,13,133,17,,15,15,17,17,15,17,17,17,17,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,7,Midnight Lion,5,Paul Mulrennan,Jim Goldie,3,130,21,,21,19,17,17,15,17,17,17,17,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,8,Fox Avatar,4,Jack Mitchell,Roger Varian,4,129,4,,4,4,4,4,4,4,4,4,4,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,9,Bint Al Daar,5,Joanna Mason,Kevin Frost,12,128,21,,15,17,19,17,19,19,19,19,21,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,10,Immediate Effect,3,Luke Morris,Sir Mark Prescott Bt,5,126,5.5,,5.5,5,5,5,5,5,5,5,5,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,11,Obsidian Knight,7,Jack Nicholls(7),T J Kent,1,122,26,,21,23,26,23,26,26,26,26,26,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,12,Up The Jazz,4,Cam Hardie,Richard Fahey,10,121,26,,21,26,26,26,26,26,26,26,26,SP
,Wolverhampton (AW),20:45,Racing League Race 14 Handicap (For horses In The Care Of Trainers Registered To Racing League),Class 3,9.5,"£25,770",Standard,AW,,13,13,Dancing Steve,4,Finley Marsh,Adrian McGuinness,2,120,8.5,,8,8.5,8,8,8,8,8,8,8,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,1,Pied Piper,7,Jack Kennedy,Gordon Elliott,,162,4.5,,4.5,3,3,3.25,3,3,3,3,3.25,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,2,Fine Margin,8,Brian Hayes,W P Mullins,,155,34,,21,29,29,29,29,29,29,29,34,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,3,Gold Dancer,6,Sean O'Keeffe,W P Mullins,,155,26,,19,23,19,23,19,19,23,23,26,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,4,Intellotto,5,J J Slevin,Joseph Patrick O'Brien,,155,7,,7,4.5,4.5,5,4.5,4.5,4.5,4.5,5,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,5,Itsalladream,6,Jack G Gilligan,Paul John Gilligan,,155,21,,21,19,19,21,15,19,19,19,21,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,6,Runcok,5,Danny Mullins,W P Mullins,,155,9,,9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,7,Special Cadeau,7,Darragh O'Keeffe,Henry De Bromhead,,155,5.5,,5.5,4.5,4.5,5,4.5,4.5,4.5,4.5,5,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,8,Westport Cove,7,Paul Townend,W P Mullins,,155,4,,4,3.5,3.5,3.75,3.5,3.5,3.25,3.5,3.75,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,9,Belle The Lioness,8,Phillip Enright,S Curling,,148,51,,51,34,34,34,34,34,34,34,34,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,10,Birdie Or Bust,7,Mark Walsh,Henry De Bromhead,,148,13,,13,12,12,12,12,12,12,12,13,SP
,Galway,14:10,Guinness Open Gate Brewery Novice Chase (Grade 3),Class 1,18,23600,Good,Turf,12 fences,11,11,Gale Mahler,6,Brian Hughes,Adrian Paul Keatley,,148,9,,9,8,8,8.5,8,8,8,8,8.5,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,1,Pink Oxalis,4,Dylan Browne McMonagle,Stephen Thorne,19,140,8,,8,6.5,6.5,6.5,6.5,6.5,6.5,SP,6.5,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,2,Sea Eagle,5,Nicola Burns(7),Gerard O'Leary,16,139,26,,17,23,23,23,23,23,26,SP,23,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,3,Retracement,4,Ben Coen,J P Murtagh,6,137,6.5,,6.5,5.5,5.5,5.5,5.5,5.5,5.5,SP,5.5,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,4,Artful Approach,4,Jack Kearney(3),Stephen Thorne,13,135,9,,9,9,9,9,9,9,9,SP,9,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,5,Clear Quartz,8,Ronan Whelan,Mark Fahey,18,135,17,,17,12,12,12,12,12,12,SP,12,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,6,Quar Shamar,5,Donagh O'Connor,Ross O'Sullivan,7,134,19,,19,19,19,19,19,19,13,SP,19,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,7,Bill Silvers,5,Chris Hayes,William Durkan,3,133,26,,19,26,26,26,26,26,26,SP,26,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,8,Genuine Article,5,Seamie Heffernan,Gerard Keane,5,133,6,,6,6,6,6,6,6,6,SP,6,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,9,Goal Exceeded,4,Sam Coen(7),Adrian McGuinness,20,133,19,,19,15,15,15,15,15,15,SP,15,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,10,Titanium,6,Patrick McGettigan(7),Ciaran Murphy,1,133,26,,26,17,17,17,17,17,17,SP,17,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,11,Earls,8,Robert Whearty(3),Gavin Cromwell,17,132,13,,13,13,13,13,13,13,13,SP,13,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,12,Expound,6,Dylan O'Connor(7),Denis Gerard Hogan,14,132,9,,9,8.5,8.5,8.5,8.5,8.5,8.5,SP,8.5,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,13,San Aer,7,Wayne Hassett(3),Thomas Mullins,10,132,19,,19,19,19,19,19,19,19,SP,19,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,14,Solomon Coop,4,Orla Tynan(10),M J Tynan,12,132,26,,17,23,26,26,23,26,26,SP,26,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,15,Bravo Zulu,4,Declan McDonogh,David Loughnane,8,131,8,,8,6.5,6.5,6.5,6.5,6.5,6.5,SP,6.5,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,16,Flying Bay,4,Jack Cleary(5),Andrew Kinirons,15,129,21,,19,21,21,21,21,21,21,SP,21,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,17,Imposing Supreme,9,Gavin Ryan,Thomas Gibney,2,129,21,,12,21,21,21,21,21,21,SP,21,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,18,No More Porter,7,Adam Caffrey,Adrian McGuinness,21,129,29,,29,26,26,26,26,26,26,SP,26,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,R19,Goin',5,,A J Martin,9,128,41,,34,41,41,41,41,41,41,SP,SP,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,R20,Shigar,6,Jamie Orr(10),William Durkan,4,128,41,,26,41,41,41,41,41,41,SP,SP,SP
,Galway,14:45,Rockshore Refreshingly Irish Handicap,,8.5,11800,Soft,Turf,,21,R21,Comfort Line,8,,Adrian McGuinness,11,122,67,,26,67,67,67,67,67,67,SP,SP,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,1,Bellaphina,5,James Ryan,John Andrew Kinsella,8,133,12,,12,11,11,11,11,11,11,11,11,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,2,Fleur De Chine,4,Scott McCullagh,Mrs John Harrington,13,133,21,,21,21,21,21,21,21,21,21,21,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,3,Mataariki,4,Dylan Browne McMonagle,Joseph Patrick O'Brien,11,133,13,,13,11,11,11,11,11,11,11,11,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,4,Princess Child,4,Declan McDonogh,Joseph Patrick O'Brien,16,133,23,,23,15,15,15,15,15,15,15,15,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,5,Tropical Island,4,Luke McAteer,Richard Fahey,15,133,26,,26,21,21,21,21,21,21,21,21,SP
