No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Silk,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,ORI,Best,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,,,RESULT,SP odd,,Form,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saratoga,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/6/9/0/313096.svg,12,6,Cicero's Gift,5,Billy Loughnane,Charles Hills,11,128,N/A,,,,,,,,87-362,,,,,,,,Theo Bachelot,1,17:27 | Deauville | Dreamliner,,,,,,,,,,,P Cottier,2,18:02 | Deauville | Ten Horns,18:02 | Deauville | Daylight,,,,,,,,,
1,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/3/5/5/361553.svg,12,7,Tumbler,6,Stephane Pasquier,N Caullery,7,128,N/A,,,,,,,,321135,,,,,,,,Ronan Thomas,1,18:02 | Deauville | Megarry,,,,,,,,,,,Gianluca Bietolini,1,18:02 | Deauville | Megarry,,,,,,,,,,
,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/1/5/2/361251.svg,12,8,My Cloud,4,Silvestre De Sousa,Roger Varian,10,128,N/A,,,,,,,,21-111,,,,,,,,Mme Frida Valle Skar,1,18:02 | Deauville | Lesslepasser,,,,,,,,,,,Sofie Lanslots,1,18:02 | Deauville | Lesslepasser,,,,,,,,,,
,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/8/8/0/325088.svg,12,9,Dark Trooper,5,Mickael Barzalona,A De Mieulle,6,128,N/A,,,,,,,,-24172,,,,,,,,David Allan,4,13:30 | Beverley | Financer,14:05 | Beverley | Adrestia,15:07 | Beverley | Dunkeld Dreamer,16:17 | Beverley | Spring Corn,,,,,,,,Ed Walker,6,18:02 | Deauville | Balmoral Lady,15:42 | Beverley | Melvin Udall,15:50 | Chester | Senor Campanaro,17:55 | Lingfield (AW) | Perfect Panda,13:50 | Sandown | Woroodd,14:25 | Sandown | American Gal,,,,,
,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/4/3/9/59934.svg,12,10,No Lunch,4,Maxime Guyon,C Ferland,3,128,N/A,,,,,,,,-11106,,,,,,,,Tom Kiely-Marshall,2,13:30 | Beverley | Titian,16:55 | Beverley | Dandy's Angel,,,,,,,,,,George Boughey,2,18:02 | Deauville | Rosy Affair,15:15 | Chester | El Burhan,,,,,,,,,
,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/8/6/9/8968.svg,12,11,Dreamliner,3,Theo Bachelot,S Wattel,4,121,N/A,,,,,,,,-24511,,,,,,,,James Sullivan,1,13:30 | Beverley | Dawn Of Liberation,,,,,,,,,,,Y Barberot,1,18:02 | Deauville | Cacofonix,,,,,,,,,,
,Deauville,17:27,Barriere Prix Quincey (Group 3) (3yo+) (Straight Course) (Turf),Class 1,8,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/1/7/0/280071.svg,12,12,Tito Mo Cen,3,Augustin Madamet,Mme Victoria Head,12,121,N/A,,,,,,,,11454,,,,,,,,Callum Rodriguez,4,13:30 | Beverley | Crown Of Oaks,14:05 | Beverley | Regional,14:35 | Beverley | Secret Echo,16:17 | Beverley | Rock Of England,,,,,,,,Tim Easterby,3,13:30 | Beverley | Financer,16:17 | Beverley | Spring Corn,16:25 | Chester | I'm Next,,,,,,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/4/8/9/333984.svg,7,1,Ten Horns,4,Alexis Pouchin,P Cottier,3,128,N/A,,,,,,,,251556,,,,,,,,Barry McHugh,1,13:30 | Beverley | Glistening Nights,,,,,,,,,,,Julie Camacho,3,13:30 | Beverley | Titian,16:17 | Beverley | Hundred Caps,16:25 | Chester | Veydari,,,,,,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/2/5/9/293952.svg,7,2,Megarry,4,Ronan Thomas,Gianluca Bietolini,7,128,N/A,,,,,,,,-81536,,,,,,,,Paul Mulrennan,4,13:30 | Beverley | Spioradalta,14:05 | Beverley | Kerdos,14:35 | Beverley | Love Love Love,15:42 | Beverley | Melvin Udall,,,,,,,,Ruth Carr,1,13:30 | Beverley | Dawn Of Liberation,,,,,,,,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/5/2/9/260925.svg,7,3,Lesslepasser,6,Mme Frida Valle Skar,Sofie Lanslots,6,128,N/A,,,,,,,,-27258,,,,,,,,Kevin Stott,3,13:30 | Beverley | Desert Shadow,14:05 | Beverley | Shagraan,16:17 | Beverley | Hundred Caps,,,,,,,,,William Haggas,11,13:30 | Beverley | Crown Of Oaks,14:05 | Beverley | First Instinct,14:10 | Chester | Concert,16:25 | Chester | Kinswoman,17:00 | Chester | Showering,13:50 | Sandown | Headmaster,14:25 | Sandown | Alobayyah,15:00 | Sandown | Castle Cove,16:10 | Sandown | Proposal,17:20 | Sandown | Another Abbot,16:37 | Curragh | Godwinson
