No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Silk,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,ORI,Best,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,,,RESULT,SP odd,,Form,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lingfield (AW),16:50,attheraces.com/marketmovers Amateur Jockeys' Handicap,Class 6,8,"£3,080",Standard,AW,https://www.rp-assets.com/svg/5/5/2/269255.svg,10,10,Saved Lizzie,5,Miss Ruby Criscuolo(7),Robert Eddery,5,145,12,8.5,8.5,8.5,8.5,8.5,7.5,8.5,7-6663,,,,,,,,Rebecca Parsons,1,17:12 | Curragh | Zabeir,,,,,,,,,,,Kevin Thomas Coleman,1,17:12 | Curragh | Only Spoofing,,,,,,,,,,
,Lingfield (AW),17:25,Free Tips Daily On attheraces.com Nursery Handicap,Class 5,8,"£3,978",Standard,AW,https://www.rp-assets.com/svg/f/4/5/163154f.svg,5,1,Halla Bil Zain,2,Trevor Whelan,Owen Burrows,5,135,2.75,3,3,3,3,3,3,3,0362,,,,,,,,Yudish Geerdharry,1,17:12 | Curragh | Amicitia,,,,,,,,,,,Edward Lynam,1,17:12 | Curragh | Annie Lavinia,,,,,,,,,,
,Lingfield (AW),17:25,Free Tips Daily On attheraces.com Nursery Handicap,Class 5,8,"£3,978",Standard,AW,https://www.rp-assets.com/svg/2/4/2/305242.svg,5,2,Booziebrunch,2,Jason Watson,S Woods,3,134,3,3.25,3.25,3,3,3.25,3.25,3,433531,,,,,,,,Conor Cusack,1,17:12 | Curragh | Catherine Chroi,,,,,,,,,,,G A Kingston,1,17:12 | Curragh | Sunday Sovereign,,,,,,,,,,
,Lingfield (AW),17:25,Free Tips Daily On attheraces.com Nursery Handicap,Class 5,8,"£3,978",Standard,AW,https://www.rp-assets.com/svg/c/9/7/326579c.svg,5,3,Jack The Tooth,2,Darragh Keenan,George Scott,4,134,8,6.5,6.5,6.5,6.5,6,6,6.5,8175,,,,,,,,Darragh O'Sullivan,1,17:12 | Curragh | Run Forrest Run,,,,,,,,,,,Jarlath P Fahey,1,17:12 | Curragh | El Fontenaro,,,,,,,,,,
,Lingfield (AW),17:25,Free Tips Daily On attheraces.com Nursery Handicap,Class 5,8,"£3,978",Standard,AW,https://www.rp-assets.com/svg/7/5/9/359957.svg,5,4,Blooming Legend,2,Jack Doughty,Charlie Clover,2,130,5.5,5,5,5,5,4.5,4.5,5,53361,,,,,,,,Julian Pietropaolo,1,17:12 | Curragh | She's Smart,,,,,,,,,,,Chris Timmons,1,17:12 | Curragh | Kayamite,,,,,,,,,,
,Lingfield (AW),17:25,Free Tips Daily On attheraces.com Nursery Handicap,Class 5,8,"£3,978",Standard,AW,https://www.rp-assets.com/svg/8/6/0/326068.svg,5,5,Zipwire,2,William Cox,J S Moore,1,130,13,12,12,12,11,11,10,11,2438,,,,,,,,Hugh Horgan,1,17:12 | Curragh | Moonhall Lass,,,,,,,,,,,Kevin Michael Smith,1,17:12 | Curragh | Undefeatable,,,,,,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/9/0/6/294609.svg,7,1,Arlo's Girl,2,Darragh Keenan,Joseph Parr,5,135,4,,,,,,,,1,,,,,,,,Adam Browne-Souza,1,17:12 | Curragh | Only Spoofing,,,,,,,,,,,Daniel James Murphy,1,17:12 | Curragh | Ace In The Pack,,,,,,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/6/8/6/42686.svg,7,2,Q T Pie,2,William Carson,Daniel & Claire Kubler,4,133,9,6,6,5.5,6,5.5,5.5,6,51,,,,,,,,Sorcha Woods,1,17:12 | Curragh | Annie Lavinia,,,,,,,,,,,Paul W Flynn,1,17:12 | Curragh | American In Paris,,,,,,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/8/7/9/358978.svg,7,3,Carefree Dream,2,William Cox,J S Moore,6,128,19,26,26,26,26,26,26,26,424437,,,,,,,,Adam Grant,1,17:12 | Curragh | Sunday Sovereign,,,,,,,,,,,Andrew Kinirons,1,17:47 | Curragh | Explorers Way,,,,,,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/3/0/0/176003.svg,7,4,Perfect Panda,2,Jack Doughty,Ed Walker,7,128,21,21,19,19,21,19,21,21,84,,,,,,,,Jimmy Dalton,1,17:12 | Curragh | Yaxchilan,,,,,,,,,,,Gordon Elliott,6,17:47 | Curragh | Mordor,17:47 | Curragh | The Mediator,17:47 | Curragh | Hardy Diamond,17:47 | Curragh | Lightning Legs,17:47 | Curragh | Chortal,17:47 | Curragh | Ossifer Hops,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/1/9/7/2791.svg,7,5,Rose Of Spain,2,Paddy Bradley,Richard Hughes,1,128,2,1.67,1.67,1.67,1.62,1.62,1.62,1.62,222,,,,,,,,Jack Cleary,1,17:12 | Curragh | El Fontenaro,,,,,,,,,,,Ross O'Sullivan,1,17:47 | Curragh | Eagles Reign,,,,,,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/4/8/8/338884.svg,7,6,Ar Diddy Dum Dum,2,Gina Mangan,Dr Richard Newland & Jamie Insole,3,126,10,9,9,8.5,8.5,8.5,8,8.5,354,,,,,,,,Jessica O'Gorman,1,17:12 | Curragh | Gegenpressing,,,,,,,,,,,Henry De Bromhead,1,17:47 | Curragh | Red Glory,,,,,,,,,,
,Lingfield (AW),17:55,Get Raceday Ready EBF Fillies' Restricted Novice Stakes (Bands C And D) (EBF Qualifier) (GBB Race),Class 5,5,"£3,672",Standard,AW,https://www.rp-assets.com/svg/1/5/4/343451.svg,7,7,Loleeta,2,Olivia Haines(7),Stuart Williams,2,126,8.5,7.5,7.5,7.5,7,7,7,7,442,,,,,,,,Milo Malone,1,17:12 | Curragh | Kayamite,,,,,,,,,,,Cian Collins,1,17:47 | Curragh | Redwood Queen,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/6/8/6/356686.svg,14,1,Buttercross Flyer,4,Charlie Bennett,Scott Dixon,4,135,7.5,9.5,8.5,9.5,9,8.5,9,9,-47662,,,,,,,,Terry Casey,1,17:12 | Curragh | Ace In The Pack,,,,,,,,,,,John Joseph Hanlon,2,17:47 | Curragh | Fascinating Shadow,17:47 | Curragh | Fireworks,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/7/4/4/361447.svg,14,2,Capallcliste,5,Tyrese Cameron(7),Simon Hodgson,5,135,13,13,13,13,13,13,13,13,-85525,,,,,,,,Alan Casey,1,17:12 | Curragh | American In Paris,,,,,,,,,,,Denis Gerard Hogan,1,17:47 | Curragh | Hell Left Loose,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/0/6/2/302260.svg,14,3,Haaf A Diamond,5,Callum Hutchinson,Kevin Frost,3,135,17,26,23,26,23,23,23,23,-74355,,,,,,,,Katie Timmons,1,17:47 | Curragh | Explorers Way,,,,,,,,,,,L Young,1,17:47 | Curragh | Maharajjah,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/7/9/4/43497.svg,14,4,Hold The Press,6,Paddy Bradley,J R Jenkins,11,135,12,15,13,15,13,13,13,13,08-474,,,,,,,,William Kennnedy,1,17:47 | Curragh | Mordor,,,,,,,,,,,Anthony McCann,1,17:47 | Curragh | Shabra Diya,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/b/1/2/62021b.svg,14,5,Invincible Navy,4,Alexandra Egan(7),James Owen,2,135,7,7.5,7.5,7.5,6.5,7,7.5,6.5,993052,,,,,,,,Gary Dowling,1,17:47 | Curragh | Eagles Reign,,,,,,,,,,,Emmet Mullins,1,17:47 | Curragh | Silent Guardian,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/b/1/5/328151b.svg,14,6,Kento,4,William Carson,Tony Carroll,8,135,7.5,12,11,12,11,11,11,11,088033,,,,,,,,Claire O'Ryan,1,17:47 | Curragh | Jungle Cove,,,,,,,,,,,Saffie A Joseph Jr,7,21:52 | Kentucky Downs | Implementation,21:52 | Kentucky Downs | Axthelm,23:25 | Kentucky Downs | In Our Time,23:25 | Kentucky Downs | Movin' On Up,22:38 | Saratoga | Rileytole,22:38 | Saratoga | Spirit Doll,22:38 | Saratoga | Day To Day,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/0/5/7/82750.svg,14,7,Lovely Jubly,4,Gina Mangan,Michael Attwater,1,135,81,81,81,81,81,81,81,81,048880,,,,,,,,Jessica Kinsella,1,17:47 | Curragh | Red Glory,,,,,,,,,,,Jose Francisco D'Angelo,2,21:52 | Kentucky Downs | Howard Wolowitz,22:46 | Kentucky Downs | Iron Hand,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/7/8/2/284287.svg,14,8,Okami,5,Tom Queally,Gary & Josh Moore,6,135,7.5,7.5,6.5,7.5,7,7,7,7,4-5797,,,,,,,,Olivia Marnane,1,17:47 | Curragh | Mo Ghille Mar,,,,,,,,,,,Larry Rivelli,2,21:52 | Kentucky Downs | One Timer,21:52 | Kentucky Downs | Nobals,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/1/4/8/354841.svg,14,9,Royal Jet,5,Jack Doughty,Tony Carroll,13,135,6,7.5,7,7.5,7,7,7,7,494472,,,,,,,,Davy Condon,1,17:47 | Curragh | Redwood Queen,,,,,,,,,,,Michael Trombetta,1,21:52 | Kentucky Downs | Arzak,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/9/3/6/14639.svg,14,10,Spirit Charmer,4,William Cox,Patrick Chamings,9,135,34,29,29,29,29,29,29,29,70-830,,,,,,,,Tara Moneypenny,1,17:47 | Curragh | The Mediator,,,,,,,,,,,J Keith Desormeaux,1,21:52 | Kentucky Downs | Bear River,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/0/5/8/304850.svg,14,11,Vitalline,7,Josephine Gordon,Keiran Burke,10,135,9,8,8,7,7.5,7.5,6.5,7.5,634174,,,,,,,,Lucy Kayes,1,17:47 | Curragh | Hardy Diamond,,,,,,,,,,,Wesley A Ward,2,21:52 | Kentucky Downs | Arrest Me Red,23:25 | Kentucky Downs | Landed,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/3/6/4/342463.svg,14,12,Keith's Star,3,Rhys Clutterbuck,Rachel Cook & John Bridger,12,130,81,126,81,126,101,101,101,101,078-,,,,,,,,Sam Austin,1,17:47 | Curragh | Preparations,,,,,,,,,,,Leonard Powell,1,21:52 | Kentucky Downs | Air Force Red,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/5/3/7/328735.svg,14,13,Latona,3,Jason Watson,Michael Appleby,14,130,7,6,6,6,5.5,5.5,5.5,5.5,464555,,,,,,,,Brian Whelan,1,17:47 | Curragh | Cut The Rope,,,,,,,,,,,David Jacobson,1,21:52 | Kentucky Downs | Durante,,,,,,,,,,
,Lingfield (AW),18:25,Sky Sports Racing Sky 415 Classified Stakes,Class 6,7,"£3,245",Standard,AW,https://www.rp-assets.com/svg/2/7/2/193272.svg,14,14,Rotation,3,Oliver Carmichael(7),Eve Johnson Houghton,7,130,12,17,15,17,15,15,15,15,656334,,,,,,,,Christopher Brabson,1,17:47 | Curragh | Fascinating Shadow,,,,,,,,,,,William Walden,1,21:52 | Kentucky Downs | Pipsy,,,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/0/1/8/330810.svg,7,1,Smooth Silesie,4,Tyrese Cameron(7),Lisa Williamson,7,143,3.5,4,4,4,3.75,3.75,3.75,3.75,521211,,,,,,,,Ben Cusack,1,17:47 | Curragh | Fireworks,,,,,,,,,,,Tracey J Wisner,1,21:52 | Kentucky Downs | Charcoal,,,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/4/0/7/349704.svg,7,2,Fiorella Princess,3,Darragh Keenan,Lemos De Souza,4,133,4.33,8.5,8,8.5,8,8,8,8,896542,,,,,,,,Mr A Smullen,1,17:47 | Curragh | Hell Left Loose,,,,,,,,,,,Joseph Orseno,1,21:52 | Kentucky Downs | Eamonn,,,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/b/3/0/93103b.svg,7,3,Money Pockets,3,Alexandra Egan(7),Martin Dunne,3,130,3.5,3.75,3.5,3.75,3.5,3.5,3.5,3.5,476322,,,,,,,,Bartosz Barty Walczak,1,17:47 | Curragh | Kazakh d'Arthel,,,,,,,,,,,Steven Asmussen,3,21:52 | Kentucky Downs | High Front,22:46 | Kentucky Downs | Tiztastic,23:25 | Kentucky Downs | Neom Beach,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/7/6/1/347167.svg,7,4,Virtue Temperance,3,Jason Watson,Amanda Perrett,2,128,10,7,7,6.5,6.5,6,6.5,6.5,-26694,,,,,,,,Cian Fenelon,1,17:47 | Curragh | Maharajjah,,,,,,,,,,,Chad C Brown,3,22:46 | Kentucky Downs | Hill Road,23:25 | Kentucky Downs | Segesta,22:38 | Saratoga | Ornellaia,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/1/2/1/348121.svg,7,5,Hint Of Humour,3,William Carson,Tony Carroll,1,127,8.5,15,13,15,13,13,13,13,-32640,,,,,,,,Jennifer Babington,1,17:47 | Curragh | Shabra Diya,,,,,,,,,,,H Graham Motion,1,22:46 | Kentucky Downs | Test Score,,,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/3/5/0/361053.svg,7,6,Gogo Yubari,4,Rhys Clutterbuck,Tony Carroll,6,127,13,6,6,6,6,6,6,6,445188,,,,,,,,David Ryan,1,17:47 | Curragh | Silent Guardian,,,,,,,,,,,Brendan P Walsh,2,22:46 | Kentucky Downs | King Of Ashes,23:25 | Kentucky Downs | Special Wan,,,,,,,,,
,Lingfield (AW),18:55,Download The At The Races App Fillies' Handicap,Class 5,5,"£5,234",Standard,AW,https://www.rp-assets.com/svg/b/1/2/189421b.svg,7,7,Juno Star,3,Jack Doughty,Philip McBride,5,120,15,8.5,8.5,8.5,8.5,8.5,8.5,8.5,533384,,,,,,,,Pat Shanahan,1,17:47 | Curragh | Sacred Oath,,,,,,,,,,,Mark Casse,2,22:46 | Kentucky Downs | Tomasello,22:46 | Kentucky Downs | Sandman,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/4/7/1/146174.svg,10,1,High Court Judge,5,Alexandra Egan(7),James Owen,6,142,7.5,8.5,8.5,8,8,8,8,8,314500,,,,,,,,Ella Budds,1,17:47 | Curragh | Lightning Legs,,,,,,,,,,,Ian R Wilkes,1,22:46 | Kentucky Downs | Burnham Square,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/2/2/6/341622.svg,10,2,Obsidian Knight,7,Grace McEntee,T J Kent,5,140,7,6.5,6.5,6.5,6.5,6,6.5,6.5,117598,,,,,,,,Barry Lacy,1,17:47 | Curragh | Serafina,,,,,,,,,,,William Mott,1,22:46 | Kentucky Downs | Simulate,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/e/3/2/216523e.svg,10,3,Enough Already,9,Josephine Gordon,Charlie Wallis,2,140,34,41,41,34,34,29,34,34,53-170,,,,,,,,Manuel Franco,3,21:52 | Kentucky Downs | Implementation,22:46 | Kentucky Downs | Test Score,23:25 | Kentucky Downs | Sacred Wish,,,,,,,,,Todd Pletcher,3,22:46 | Kentucky Downs | Noble Confessor,22:38 | Saratoga | Steer Clear,22:38 | Saratoga | Tommy Jo,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/6/2/6/332626.svg,10,4,Playtime,4,Jason Watson,Andrew Balding,4,140,7.5,6,6,4.5,5.5,5.5,5.5,5.5,82/5,,,,,,,,Irad Ortiz Jr,3,21:52 | Kentucky Downs | Howard Wolowitz,22:46 | Kentucky Downs | Noble Confessor,23:25 | Kentucky Downs | Segesta,,,,,,,,,Kenneth McPeek,2,22:46 | Kentucky Downs | Maximum Promise,22:46 | Kentucky Downs | Native Runner,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/3/2/8/339823.svg,10,5,Saliko,3,Darragh Keenan,Jack Jones,1,132,3.75,5,5,5,5,5,5,5,-23611,,,,,,,,Jareth Loveberry,1,21:52 | Kentucky Downs | One Timer,,,,,,,,,,,Brad H Cox,1,22:46 | Kentucky Downs | Final Gambit,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/9/4/7/293749.svg,10,6,The Bay Warrior,7,Tyler Heard,Mark Usher,9,131,29,41,41,41,41,41,41,41,32-150,,,,,,,,Luis Saez,3,21:52 | Kentucky Downs | Arzak,22:46 | Kentucky Downs | Maximum Promise,23:25 | Kentucky Downs | Pin Up Betty,,,,,,,,,George Weaver,1,23:25 | Kentucky Downs | Sacred Wish,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/3/6/7/61763.svg,10,7,Catherine's Gift,3,Trevor Whelan,Harry Charlton,3,128,7,5.5,5.5,4.5,5.5,5,5.5,5.5,4-34,,,,,,,,James Graham,1,21:52 | Kentucky Downs | Bear River,,,,,,,,,,,Ed Moger Jr,1,23:25 | Kentucky Downs | Charlene's Dream,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/5/0/6/216605.svg,10,8,Soy Loco,3,Paddy Bradley,Simon Dow,7,126,13,11,10,10,11,11,10,11,532655,,,,,,,,Frankie Dettori,3,21:52 | Kentucky Downs | Khaadem,22:46 | Kentucky Downs | Wimbledon Hawkeye,23:25 | Kentucky Downs | Cheshire Dancer,,,,,,,,,Michael J Maker,1,23:25 | Kentucky Downs | Pin Up Betty,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/8/1/4/326418.svg,10,9,Imperial Cult,6,Gina Mangan,Rachel Cook & John Bridger,10,126,7,12,11,12,12,12,12,12,764482,,,,,,,,Junior Alvarado,4,21:52 | Kentucky Downs | Arrest Me Red,21:52 | Kentucky Downs | Axthelm,22:46 | Kentucky Downs | Simulate,23:25 | Kentucky Downs | Landed,,,,,,,,Rodolphe Brisset,1,22:38 | Saratoga | Meringue,,,,,,,,,,
,Lingfield (AW),19:25,Sky Sports Racing Virgin 519 Handicap,Class 5,12,"£3,978",Standard,AW,https://www.rp-assets.com/svg/6/1/3/7316.svg,10,10,Emily Rebecca,3,Tyrese Cameron(7),Richard Hannon,8,122,9,9,9,8.5,8.5,8.5,8.5,8.5,461123,,,,,,,,Jose L Ortiz,3,21:52 | Kentucky Downs | Air Force Red,22:46 | Kentucky Downs | Sandman,23:25 | Kentucky Downs | Movin' On Up,,,,,,,,,Jorge Delgado,1,22:38 | Saratoga | Mythical,,,,,,,,,,
,Newton Abbot,14:15,Devon Air Ambulance Mares' Maiden Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/1/3/6/308631.svg,6,1,Lynsey Larue,6,Isabel Williams,Evan Williams,0,162,5.5,7,6,7,6,6,6,6,1473-1,,,,,,,,Jaime A Torres,1,21:52 | Kentucky Downs | Durante,,,,,,,,,,,Ben Colebrook,1,22:38 | Saratoga | Percy's Bar,,,,,,,,,,
,Newton Abbot,14:15,Devon Air Ambulance Mares' Maiden Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/9/5/0/325059.svg,6,2,Never Told Me,6,Jonathan Burke,Fergal O'Brien,0,162,5,5,4,5,4,4,4,4,78-55,,,,,,,,Joel Rosario,3,21:52 | Kentucky Downs | Pipsy,22:46 | Kentucky Downs | Tiztastic,23:25 | Kentucky Downs | Special Wan,,,,,,,,,Brett A Brinkman,1,22:38 | Saratoga | Sina,,,,,,,,,,
,Newton Abbot,14:15,Devon Air Ambulance Mares' Maiden Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/4/5/4/345454.svg,6,3,Irisante,4,Kielan Woods,D J Jeffreys,0,159,5,5,4,5,3.75,4,4,3.75,37237-,,,,,,,,Tyler Gaffalione,3,21:52 | Kentucky Downs | Nobals,22:46 | Kentucky Downs | Hill Road,23:25 | Kentucky Downs | In Our Time,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:15,Devon Air Ambulance Mares' Maiden Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/1/3/3/229331.svg,6,4,Midnight Pass,4,Ben Jones,Emma Lavelle,0,159,4.5,,,,,,,,26,,,,,,,,Axel Concepcion,1,21:52 | Kentucky Downs | Charcoal,,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:15,Devon Air Ambulance Mares' Maiden Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/b/1/8/35881b.svg,6,5,Casual Encounter,3,Isabelle Ryder(7),Barry Brennan,0,143,41,34,29,34,26,29,29,26,,,,,,,,,Javier Castellano,2,21:52 | Kentucky Downs | Eamonn,23:25 | Kentucky Downs | Charlene's Dream,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:15,Devon Air Ambulance Mares' Maiden Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/4/9/9/348994.svg,6,6,Manyana Blue,3,Sam Twiston-Davies,Dr Richard Newland & Jamie Insole,0,143,3.25,2.63,2.63,2,2.5,2.5,2.5,2.5,332,,,,,,,,Keith J Asmussen,1,21:52 | Kentucky Downs | High Front,,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:45,Harry & Peg's Silver Wedding Anniversary Novices' Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/8/9/3/217398.svg,6,1,Howth,6,Stan Sheppard,Tom Lacey,0,166,1.62,1.33,1.29,1.33,1.3,1.3,1.3,1.3,1131,,,,,,,,Ben Curtis,1,22:46 | Kentucky Downs | King Of Ashes,,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:45,Harry & Peg's Silver Wedding Anniversary Novices' Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/6/6/2/348266.svg,6,2,Haptics,5,Sean Bowen,James Owen,0,154,4.5,8.5,8.5,8.5,8.5,8,8,8.5,P/,,,,,,,,Fernando De La Cruz,1,22:46 | Kentucky Downs | Tomasello,,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:45,Harry & Peg's Silver Wedding Anniversary Novices' Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/1/9/7/6791.svg,6,3,Majestic Moment,6,David Noonan,D Summersby,0,154,101,151,151,126,126,101,101,126,/PP-P0,,,,,,,,Brian Joseph Hernandez Jr,2,22:46 | Kentucky Downs | Burnham Square,22:46 | Kentucky Downs | Native Runner,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:45,Harry & Peg's Silver Wedding Anniversary Novices' Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/3/3/8/358833.svg,6,4,Saratoga Lass,9,Fern O'Brien(5),Fergal O'Brien,0,154,5,6.5,6.5,6,6,5.5,5.5,6,/33/41,,,,,,,,Florent Geroux,1,22:46 | Kentucky Downs | Final Gambit,,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:45,Harry & Peg's Silver Wedding Anniversary Novices' Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/8/4/4/361448.svg,6,5,Absolut Grey,4,Bryan Carver,D Summersby,0,151,51,51,51,51,51,41,51,51,PP5P2-,,,,,,,,Edwin Gonzalez,1,22:46 | Kentucky Downs | Iron Hand,,,,,,,,,,,,,,,,,,,,,,,
,Newton Abbot,14:45,Harry & Peg's Silver Wedding Anniversary Novices' Hurdle (GBB Race),Class 4,17,"£4,489",Good,Turf,https://www.rp-assets.com/svg/1/6/9/349961.svg,6,6,Top Tier Gossip,5,Tristan Durrell(3),Dan Skelton,0,147,11,23,19,23,19,17,19,19,26-35,,,,,,,,Erik Asmussen,1,23:25 | Kentucky Downs | Neom Beach,,,,,,,,,,,,,,,,,,,,,,,
